model_id,method,cluster,tissue
ach-001389,HC_avg_k24,15,breast
ach-001183,HC_avg_k24,9,urinary_tract
ach-000551,HC_avg_k24,13,blood
ach-003101,HC_avg_k24,13,lymphocyte
ach-001163,HC_avg_k24,23,kidney
ach-000037,HC_avg_k24,15,soft_tissue
ach-000744,HC_avg_k24,9,lung
ach-000420,HC_avg_k24,3,liver
ach-000336,HC_avg_k24,13,blood
ach-000486,HC_avg_k24,11,urinary_tract
ach-000679,HC_avg_k24,9,esophagus
ach-001557,HC_avg_k24,15,lung
ach-000247,HC_avg_k24,9,gastric
ach-000947,HC_avg_k24,23,ovary
ach-000807,HC_avg_k24,17,central_nervous_system
ach-000476,HC_avg_k24,1,liver
ach-000525,HC_avg_k24,21,lung
ach-003154,HC_avg_k24,15,lung
ach-001148,HC_avg_k24,13,lymphocyte
ach-003455,HC_avg_k24,14,skin
ach-000853,HC_avg_k24,23,lung
ach-000083,HC_avg_k24,15,fibroblast
ach-000479,HC_avg_k24,15,central_nervous_system
ach-000230,HC_avg_k24,15,fibroblast
ach-001664,HC_avg_k24,10,gastric
ach-002705,HC_avg_k24,9,gastric
ach-002937,HC_avg_k24,3,kidney
ach-000955,HC_avg_k24,9,colorectal
ach-000049,HC_avg_k24,3,kidney
ach-000675,HC_avg_k24,9,lung
ach-000199,HC_avg_k24,15,fibroblast
ach-000193,HC_avg_k24,13,plasma_cell
ach-001686,HC_avg_k24,13,lymphocyte
ach-000538,HC_avg_k24,23,gastric
ach-002490,HC_avg_k24,21,lung
ach-001683,HC_avg_k24,9,breast
ach-001990,HC_avg_k24,14,skin
ach-001438,HC_avg_k24,20,testis
ach-001647,HC_avg_k24,13,blood
ach-002043,HC_avg_k24,9,upper_aerodigestive
ach-001649,HC_avg_k24,9,prostate
ach-000155,HC_avg_k24,6,pancreas
ach-000270,HC_avg_k24,9,pancreas
ach-003106,HC_avg_k24,13,lymphocyte
ach-003177,HC_avg_k24,15,soft_tissue
ach-000683,HC_avg_k24,9,colorectal
ach-002017,HC_avg_k24,14,eye
ach-000655,HC_avg_k24,15,central_nervous_system
ach-000145,HC_avg_k24,15,soft_tissue
ach-001495,HC_avg_k24,3,uterus
ach-000188,HC_avg_k24,9,upper_aerodigestive
ach-003458,HC_avg_k24,14,skin
ach-000080,HC_avg_k24,13,blood
ach-000146,HC_avg_k24,13,blood
ach-000415,HC_avg_k24,9,upper_aerodigestive
ach-001518,HC_avg_k24,8,uterus
ach-002290,HC_avg_k24,13,blood
ach-000891,HC_avg_k24,16,lung
ach-001625,HC_avg_k24,9,upper_aerodigestive
ach-001985,HC_avg_k24,15,skin
ach-000895,HC_avg_k24,9,colorectal
ach-000851,HC_avg_k24,9,lung
ach-000824,HC_avg_k24,9,esophagus
ach-000506,HC_avg_k24,21,lung
ach-001427,HC_avg_k24,21,bone
