HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:141	ACTBP8		ACTBP2	ENSG00000220267	pseudogene
HGNC:142	ACTBP9			ENSG00000266920	pseudogene
HGNC:31819	ACTBP10				pseudogene
HGNC:33971	ACTBP11			ENSG00000188460	pseudogene
HGNC:150	ACTBP12	ACTGP5		ENSG00000233125	pseudogene
HGNC:45086	ACTBP14			ENSG00000229001	pseudogene
HGNC:55065	ACTBP15			ENSG00000213857	pseudogene
HGNC:56590	ACTBP16			ENSG00000241473	pseudogene
HGNC:143	ACTC1	ACTC	CMD1R	ENSG00000159251	protein-coding gene
HGNC:51491	ACTE1P			ENSG00000172900	pseudogene
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26		ENSG00000184009	protein-coding gene
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1		ENSG00000178631	pseudogene
HGNC:147	ACTG1P2	ACTL2, ACTGP2		ENSG00000229129	pseudogene
HGNC:148	ACTG1P3	ACTGP3		ENSG00000215388	pseudogene
